@relation data/anger-ratings-0to1.test.gold.tsv

@attribute id numeric 
@attribute tweet string
@attribute emotion string
@attribute intensity {low,medium,high} 

@data
10857,"@ZubairSabirPTI  pls dont insult the word 'Molna'","anger",medium
10858,"@ArcticFantasy I would have almost took offense to this if I actually snapped you","anger",medium
10859,"@IllinoisLoyalty that Rutgers game was an abomination. An affront to God and man. We must never speak of it again.","anger",medium
10860,"@CozanGaming that's what lisa asked before she started raging at me, 'can I call you?' heh","anger",medium
10861,"Sometimes I get mad over something so minuscule I try to ruin somebodies life not like lose your job like get you into federal prison ","anger",high
10862,"Sometimes I get mad over something so minuscule I try to ruin somebodies life not like lose your job like get you into federal prison #anger","anger",medium
10863,"I think @Sam_Canaday &amp; @KYLEJDOWSON must actually have to be working like me &amp; @dowson_brady because I havent got any snap chat videos today","anger",low
10864,"My eyes have been dilated. I hate the world right now with the rage of a thousand fiery dragons. I need a drink.","anger",high
10865,"@huwellwell One chosen by the CLP members! MP seats are not for people to dole out to their mates, we elect candidates. #fuming","anger",medium
10866,"@huwellwell One chosen by the CLP members! MP seats are not for people to dole out to their mates, we elect candidates. ","anger",medium
10867,"@Yoshi_OnoChin can you please not have Canadian players play US players, that lag  is atrocious. #fixthisgame #trash #sfvrefund ","anger",medium
10868,"@DailyMirror i love how theres no outrage that it's a white man but if it was a black man them BLM would be all over it regardless of reason","anger",medium
10869,"Me being on my dean really saving a lot of ppl, bc I don't snap nomore &amp; it take so much out of me..","anger",medium
10870,"Sorry guys I have absolutely no idea what time i'll be on cam tomorrow but will keep you posted. #fuming","anger",medium
10871,"Sorry guys I have absolutely no idea what time i'll be on cam tomorrow but will keep you posted. ","anger",low
10872,"Is it me, or is Ding wearing the look of a man who's just found his arch enemy in bed with his missus? #angryman ","anger",high
10873,"Is it me, or is Ding wearing the look of a man who's just found his arch enemy in bed with his missus? #angryman #scowl","anger",medium
10874,"@__NETFLIXNCHILL I fuck with madden way harder","anger",medium
10875,"@TrussElise Obama must be fuming.. lol","anger",medium
10876,"Hate when guys cant control their anger 🙃🙃","anger",medium
10877,"[ @HedgehogDylan ] *she would frown a bit, folding her arms* 'why is it that every time I'm in need of assistance someone expects a lil **","anger",medium
10878,"Literally fuming fuck sake","anger",high
10879,"@TrueAggieFan oh so that's where Brian was! Where was my invite? ","anger",medium
10880,"@TrueAggieFan oh so that's where Brian was! Where was my invite? #offended","anger",medium
10881,"@DxfyingGrxvity - frustration, looking up at Elphaba in a frown of aggravation. Her high pitched voice was growing more and more --","anger",medium
10882,"It's the most magical time of the year......Xmas party announced and the #outrage commences. Gotta love Silicon Valley millennials.","anger",medium
10883,"@LaureEve I am sitting here wrapped in a fluffy blanket, with incense burning, listening to Bon Iver and drinking mulled wine. I'm there.","anger",low
10884,"@RevTrevK @Wolfman93011 @Daraidernation @EROCKhd Take 2k out of it the numbers on madden are low and have dropped and people are unhappy","anger",medium
10885,"I wouldn't have #anger issues.....if she didn't have #lying issues.....think about that one. #pow #lies #confusion","anger",medium
10886,"@isthataspider @dhodgs i will fight this guy! Don't insult the lions like that! But seriously they kinda are.Wasted some of the best players","anger",high
10887,"Everybody talking about 'the first day of fall' but summer '16 is never gonna die #revenge @Drake","anger",medium
10888,"The rage has died down.","anger",medium
10889,"Ananya just grabbed a bible, opened it, started reading, and then said 'where do they talk about burning people?'","anger",medium
10890,"All Brian does is sleep and aggravate me","anger",medium
10891,"@komal_sidhnani true...\nThey r burning with other's pleasure!\nPpl in true love happiness everywhere _😃","anger",low
10892,"@pbhushan1 @IndianExpress so in your opinion is this the worst delhi govt? #acrid #bitter #hypocrisy","anger",high
10893,"@pbhushan1 @IndianExpress so in your opinion is this the worst delhi govt? #acrid  #hypocrisy","anger",medium
10894,"i live and die for mchanzo honeymoon crashing and burning the second they move in together","anger",medium
10895,"For the first time in my madden career I just set up a farm account. Should make MOTM much easier","anger",low
10896,"@LeonWobYP b***er off. NCFC is a grudge match :)","anger",medium
10897,"Might just leave and aggravate bae","anger",medium
10898,"Realest ever, relentless ever, inevitable that I win.","anger",medium
10899,"Kik to trade, have fun or a conversation  (kik: youraffair) #kik #kikme #messageme #textme #pics #trade #tradepics #dm  #bored","anger",low
10900,"Kik to trade, have fun or a conversation  (kik: youraffair) #kik #kikme #messageme #textme #pics #trade #tradepics #dm #snap #bored","anger",low
